"","Date","Time","Latitude","Longitude","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status"
"1","01/02/1965","13:44:18",19.246,145.616,"Earthquake",131.6,NA,NA,6,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM860706","ISCGEM","ISCGEM","ISCGEM","Automatic"
"2","01/04/1965","11:29:49",1.863,127.352,"Earthquake",80,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM860737","ISCGEM","ISCGEM","ISCGEM","Automatic"
"3","01/05/1965","18:05:58",-20.579,-173.972,"Earthquake",20,NA,NA,6.2,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM860762","ISCGEM","ISCGEM","ISCGEM","Automatic"
"4","01/08/1965","18:49:43",-59.076,-23.557,"Earthquake",15,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM860856","ISCGEM","ISCGEM","ISCGEM","Automatic"
"5","01/09/1965","13:32:50",11.938,126.427,"Earthquake",15,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM860890","ISCGEM","ISCGEM","ISCGEM","Automatic"
"6","01/10/1965","13:36:32",-13.405,166.629,"Earthquake",35,NA,NA,6.7,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM860922","ISCGEM","ISCGEM","ISCGEM","Automatic"
"7","01/12/1965","13:32:25",27.357,87.867,"Earthquake",20,NA,NA,5.9,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM861007","ISCGEM","ISCGEM","ISCGEM","Automatic"
"8","01/15/1965","23:17:42",-13.309,166.212,"Earthquake",35,NA,NA,6,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM861111","ISCGEM","ISCGEM","ISCGEM","Automatic"
"9","01/16/1965","11:32:37",-56.452,-27.043,"Earthquake",95,NA,NA,6,"MW",NA,NA,NA,NA,NA,NA,"ISCGEMSUP861125","ISCGEMSUP","ISCGEM","ISCGEM","Automatic"
"10","01/17/1965","10:43:17",-24.563,178.487,"Earthquake",565,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM861148","ISCGEM","ISCGEM","ISCGEM","Automatic"
